Spectrum 1,04/19/2025 16:51:30
[Global Parameters]
-130.96240234375,2424925000
-128.31419372558594,2424926000
-127.18701171875,2424927000
-127.23680114746094,2424928000
-128.43168640136719,2424929000
-126.3751220703125,2424930000
-126.15785217285156,2424931000
-126.71327972412109,2424932000
-126.52224731445313,2424933000
-125.21769714355469,2424934000
-124.51423645019531,2424935000
-125.00337219238281,2424936000
-124.79872894287109,2424937000
-124.4783935546875,2424938000
-124.81806182861328,2424939000
-124.21407318115234,2424940000
-124.66178131103516,2424941000
-124.19590759277344,2424942000
-124.30020904541016,2424943000
-122.80021667480469,2424944000
-122.59342193603516,2424945000
-122.0372314453125,2424946000
-122.58455657958984,2424947000
-123.54075622558594,2424948000
-123.10941314697266,2424949000
-123.30178833007813,2424950000
-123.67299652099609,2424951000
-123.80465698242188,2424952000
-123.20765686035156,2424953000
-121.82579803466797,2424954000
-120.79267883300781,2424955000
-121.35437774658203,2424956000
-121.75917816162109,2424957000
-122.3421630859375,2424958000
-123.11074829101563,2424959000
-123.09426879882813,2424960000
-123.36863708496094,2424961000
-122.92099761962891,2424962000
-122.66277313232422,2424963000
-120.07848358154297,2424964000
-118.65937805175781,2424965000
-119.01708984375,2424966000
-120.93621063232422,2424967000
-123.44497680664063,2424968000
-122.61739349365234,2424969000
-121.96855926513672,2424970000
-122.73155212402344,2424971000
-123.62954711914063,2424972000
-120.85890960693359,2424973000
-119.01627349853516,2424974000
-118.49536895751953,2424975000
-117.77456665039063,2424976000
-118.88627624511719,2424977000
-119.8831787109375,2424978000
-121.41892242431641,2424979000
-123.70745849609375,2424980000
-123.01030731201172,2424981000
-123.44065093994141,2424982000
-123.05159759521484,2424983000
-123.72054290771484,2424984000
-123.29969787597656,2424985000
-124.24373626708984,2424986000
-123.99627685546875,2424987000
-123.32398986816406,2424988000
-123.5228271484375,2424989000
-123.54840850830078,2424990000
-122.7596435546875,2424991000
-122.57816314697266,2424992000
-123.55078887939453,2424993000
-122.23573303222656,2424994000
-122.51035308837891,2424995000
-122.51609802246094,2424996000
-123.49961090087891,2424997000
-123.39421844482422,2424998000
-122.67497253417969,2424999000
-123.83545684814453,2425000000
-124.072021484375,2425001000
-123.61781311035156,2425002000
-123.59036254882813,2425003000
-124.00337982177734,2425004000
-123.73918151855469,2425005000
-122.06516265869141,2425006000
-121.63749694824219,2425007000
-122.71949005126953,2425008000
-124.68195343017578,2425009000
-123.55254364013672,2425010000
-124.00959014892578,2425011000
-125.47937774658203,2425012000
-126.22260284423828,2425013000
-125.61358642578125,2425014000
-125.73161315917969,2425015000
-127.16953277587891,2425016000
-127.62554931640625,2425017000
-128.23275756835938,2425018000
-129.39114379882813,2425019000
-129.86601257324219,2425020000
-130.96940612792969,2425021000
-131.56539916992188,2425022000
-132.7239990234375,2425023000
-132.30270385742188,2425024000
-133.06219482421875,2425025000
-133.8699951171875,2425026000
-135.35650634765625,2425027000
-137.33189392089844,2425028000
-138.63740539550781,2425029000
-140.26930236816406,2425030000
-141.73440551757813,2425031000
-142.8612060546875,2425032000
-143.90280151367188,2425033000
-144.50689697265625,2425034000
-144.84770202636719,2425035000
-145.39630126953125,2425036000
-145.24699401855469,2425037000
-145.36689758300781,2425038000
-145.826904296875,2425039000
-144.83369445800781,2425040000
-145.22819519042969,2425041000
-144.17349243164063,2425042000
-144.92030334472656,2425043000
-143.622802734375,2425044000
-143.04890441894531,2425045000
-144.54190063476563,2425046000
-144.59480285644531,2425047000
-145.10330200195313,2425048000
-145.88639831542969,2425049000
-145.98590087890625,2425050000
-146.02220153808594,2425051000
-145.05360412597656,2425052000
-145.75030517578125,2425053000
-145.47439575195313,2425054000
-145.82710266113281,2425055000
-145.44960021972656,2425056000
-144.91789245605469,2425057000
-145.17160034179688,2425058000
-145.88710021972656,2425059000
-145.32420349121094,2425060000
-145.49020385742188,2425061000
-144.95970153808594,2425062000
-145.2720947265625,2425063000
-145.595703125,2425064000
-145.43550109863281,2425065000
-145.53860473632813,2425066000
-146.39630126953125,2425067000
-146.14190673828125,2425068000
-145.17019653320313,2425069000
-145.33670043945313,2425070000
-145.71969604492188,2425071000
-145.64590454101563,2425072000
-145.47560119628906,2425073000
-145.94099426269531,2425074000
-145.26699829101563,2425075000
-145.12010192871094,2425076000
-145.38949584960938,2425077000
-146.09820556640625,2425078000
-145.10699462890625,2425079000
-145.91740417480469,2425080000
-145.39830017089844,2425081000
-145.60069274902344,2425082000
-145.66830444335938,2425083000
-145.50900268554688,2425084000
-145.58329772949219,2425085000
-145.60980224609375,2425086000
-145.67709350585938,2425087000
-145.66610717773438,2425088000
-145.97740173339844,2425089000
-146.07269287109375,2425090000
-146.04029846191406,2425091000
-146.11749267578125,2425092000
-145.51780700683594,2425093000
-145.94090270996094,2425094000
-145.82760620117188,2425095000
-145.53529357910156,2425096000
-146.49490356445313,2425097000
-145.14030456542969,2425098000
-145.17999267578125,2425099000
-145.98179626464844,2425100000
-145.5216064453125,2425101000
-146.09719848632813,2425102000
-145.72450256347656,2425103000
-146.15919494628906,2425104000
-145.87489318847656,2425105000
-145.5010986328125,2425106000
-145.44039916992188,2425107000
-146.02369689941406,2425108000
-145.96060180664063,2425109000
-146.41329956054688,2425110000
-145.125,2425111000
-146.30599975585938,2425112000
-145.58030700683594,2425113000
-145.18940734863281,2425114000
-146.30610656738281,2425115000
-144.97019958496094,2425116000
-145.62269592285156,2425117000
-145.61259460449219,2425118000
-145.74850463867188,2425119000
-145.55470275878906,2425120000
-145.25050354003906,2425121000
-144.91130065917969,2425122000
-145.64649963378906,2425123000
-145.73599243164063,2425124000
-145.83000183105469,2425125000
-145.32069396972656,2425126000
-145.89019775390625,2425127000
-145.68319702148438,2425128000
-145.82679748535156,2425129000
-146.12730407714844,2425130000
-145.84559631347656,2425131000
-146.08799743652344,2425132000
-145.27099609375,2425133000
-145.99310302734375,2425134000
-146.30099487304688,2425135000
-145.71830749511719,2425136000
-145.91929626464844,2425137000
-145.58120727539063,2425138000
-145.11419677734375,2425139000
-145.28329467773438,2425140000
-146.00909423828125,2425141000
-146.66279602050781,2425142000
-145.50709533691406,2425143000
-146.40299987792969,2425144000
-145.77780151367188,2425145000
-145.74769592285156,2425146000
-146.47329711914063,2425147000
-145.90420532226563,2425148000
-145.96910095214844,2425149000
-146.1195068359375,2425150000
-145.57359313964844,2425151000
-146.33399963378906,2425152000
-146.37399291992188,2425153000
-146.21060180664063,2425154000
-145.78939819335938,2425155000
-145.97360229492188,2425156000
-145.69219970703125,2425157000
-146.13670349121094,2425158000
-146.13209533691406,2425159000
-145.51910400390625,2425160000
-145.71359252929688,2425161000
-146.29800415039063,2425162000
-145.99090576171875,2425163000
-145.74839782714844,2425164000
-144.9031982421875,2425165000
-146.07179260253906,2425166000
-145.66349792480469,2425167000
-146.50459289550781,2425168000
-146.46989440917969,2425169000
-145.53450012207031,2425170000
-144.93670654296875,2425171000
-145.56269836425781,2425172000
-145.62910461425781,2425173000
-145.96429443359375,2425174000
-146.23689270019531,2425175000
-145.59390258789063,2425176000
-146.28840637207031,2425177000
-145.597900390625,2425178000
-146.14889526367188,2425179000
-145.73989868164063,2425180000
-145.85699462890625,2425181000
-145.24679565429688,2425182000
-145.58680725097656,2425183000
-145.32949829101563,2425184000
-145.55960083007813,2425185000
-145.52149963378906,2425186000
-146.15950012207031,2425187000
-145.35530090332031,2425188000
-146.3656005859375,2425189000
-145.02409362792969,2425190000
-145.935302734375,2425191000
-145.10139465332031,2425192000
-145.59230041503906,2425193000
-146.42010498046875,2425194000
-146.0093994140625,2425195000
-146.49029541015625,2425196000
-145.39140319824219,2425197000
-145.29789733886719,2425198000
-145.70100402832031,2425199000
-145.04200744628906,2425200000
-145.39700317382813,2425201000
-146.26010131835938,2425202000
-145.78729248046875,2425203000
-145.27250671386719,2425204000
-145.13409423828125,2425205000
-145.6824951171875,2425206000
-146.0679931640625,2425207000
-146.46209716796875,2425208000
-145.91110229492188,2425209000
-146.1387939453125,2425210000
-145.64280700683594,2425211000
-145.88409423828125,2425212000
-145.55709838867188,2425213000
-146.093994140625,2425214000
-145.98959350585938,2425215000
-146.28379821777344,2425216000
-145.89970397949219,2425217000
-145.49360656738281,2425218000
-145.55839538574219,2425219000
-145.97940063476563,2425220000
-145.46929931640625,2425221000
-145.47160339355469,2425222000
-146.29600524902344,2425223000
-146.40350341796875,2425224000
-146.12820434570313,2425225000
-145.64930725097656,2425226000
-146.73219299316406,2425227000
-145.53399658203125,2425228000
-145.82600402832031,2425229000
-146.22940063476563,2425230000
-145.72030639648438,2425231000
-145.90280151367188,2425232000
-146.0447998046875,2425233000
-145.80360412597656,2425234000
-145.13589477539063,2425235000
-145.80130004882813,2425236000
-145.48390197753906,2425237000
-145.83949279785156,2425238000
-145.50689697265625,2425239000
-145.69239807128906,2425240000
-145.96659851074219,2425241000
-146.09939575195313,2425242000
-145.48390197753906,2425243000
-145.80250549316406,2425244000
-146.0885009765625,2425245000
-146.32470703125,2425246000
-146.34359741210938,2425247000
-145.35769653320313,2425248000
-146.09410095214844,2425249000
-145.9429931640625,2425250000
-145.5050048828125,2425251000
-145.77369689941406,2425252000
-145.5552978515625,2425253000
-145.86470031738281,2425254000
-146.1282958984375,2425255000
-145.91769409179688,2425256000
-145.64849853515625,2425257000
-145.75740051269531,2425258000
-145.85639953613281,2425259000
-144.94349670410156,2425260000
-145.472900390625,2425261000
-146.11320495605469,2425262000
-146.02870178222656,2425263000
-145.63020324707031,2425264000
-145.86090087890625,2425265000
-145.94599914550781,2425266000
-146.364501953125,2425267000
-145.34719848632813,2425268000
-145.56340026855469,2425269000
-145.86390686035156,2425270000
-146.11520385742188,2425271000
-145.80009460449219,2425272000
-145.73689270019531,2425273000
-146.05110168457031,2425274000
-145.25650024414063,2425275000
-146.12989807128906,2425276000
-146.39570617675781,2425277000
-146.04800415039063,2425278000
-146.17219543457031,2425279000
-146.11189270019531,2425280000
-145.60380554199219,2425281000
-145.71949768066406,2425282000
-146.23139953613281,2425283000
-146.42190551757813,2425284000
-145.9342041015625,2425285000
-145.74729919433594,2425286000
-145.75630187988281,2425287000
-146.07749938964844,2425288000
-146.00160217285156,2425289000
-145.65849304199219,2425290000
-145.40789794921875,2425291000
-145.53579711914063,2425292000
-145.72909545898438,2425293000
-145.78160095214844,2425294000
-146.05790710449219,2425295000
-145.9512939453125,2425296000
-145.59049987792969,2425297000
-145.20109558105469,2425298000
-146.3782958984375,2425299000
-145.56880187988281,2425300000
-145.58979797363281,2425301000
-146.60580444335938,2425302000
-145.86979675292969,2425303000
-145.90980529785156,2425304000
-145.21330261230469,2425305000
-145.84849548339844,2425306000
-145.77499389648438,2425307000
-146.0155029296875,2425308000
-145.63209533691406,2425309000
-146.27699279785156,2425310000
-146.29209899902344,2425311000
-145.30839538574219,2425312000
-145.67689514160156,2425313000
-146.1925048828125,2425314000
-145.5552978515625,2425315000
-146.08839416503906,2425316000
-145.59080505371094,2425317000
-145.91659545898438,2425318000
-146.69020080566406,2425319000
-145.94160461425781,2425320000
-146.23689270019531,2425321000
-145.48379516601563,2425322000
-145.11669921875,2425323000
-145.73240661621094,2425324000
-146.02189636230469,2425325000
-146.43229675292969,2425326000
-145.83949279785156,2425327000
-145.82769775390625,2425328000
-145.52259826660156,2425329000
-145.84700012207031,2425330000
-145.92230224609375,2425331000
-146.01750183105469,2425332000
-145.93429565429688,2425333000
-146.11189270019531,2425334000
-146.02549743652344,2425335000
-145.28729248046875,2425336000
-145.50630187988281,2425337000
-145.53860473632813,2425338000
-145.63070678710938,2425339000
-146.03300476074219,2425340000
-145.75700378417969,2425341000
-146.27229309082031,2425342000
-145.48530578613281,2425343000
-145.43710327148438,2425344000
-145.2554931640625,2425345000
-146.07710266113281,2425346000
-145.34609985351563,2425347000
-145.80380249023438,2425348000
-146.33299255371094,2425349000
-145.67070007324219,2425350000
-145.59530639648438,2425351000
-145.15249633789063,2425352000
-145.62339782714844,2425353000
-146.08120727539063,2425354000
-146.40130615234375,2425355000
-145.98179626464844,2425356000
-146.029296875,2425357000
-145.35789489746094,2425358000
-145.35580444335938,2425359000
-146.91799926757813,2425360000
-145.92210388183594,2425361000
-145.70530700683594,2425362000
-146.26249694824219,2425363000
-146.17869567871094,2425364000
-145.42979431152344,2425365000
-145.29159545898438,2425366000
-145.7572021484375,2425367000
-146.14939880371094,2425368000
-145.67019653320313,2425369000
-145.906494140625,2425370000
-146.23939514160156,2425371000
-146.04949951171875,2425372000
-145.69729614257813,2425373000
-145.99169921875,2425374000
-145.927001953125,2425375000
-146.25019836425781,2425376000
-145.99079895019531,2425377000
-145.25379943847656,2425378000
-145.4674072265625,2425379000
-146.32000732421875,2425380000
-146.20039367675781,2425381000
-146.38519287109375,2425382000
-145.99130249023438,2425383000
-145.82110595703125,2425384000
-145.60350036621094,2425385000
-145.68989562988281,2425386000
-145.44769287109375,2425387000
-145.98390197753906,2425388000
-145.79510498046875,2425389000
-144.87069702148438,2425390000
-145.56739807128906,2425391000
-145.89059448242188,2425392000
-146.02659606933594,2425393000
-145.37069702148438,2425394000
-146.10029602050781,2425395000
-146.19270324707031,2425396000
-145.29049682617188,2425397000
-145.847900390625,2425398000
-145.75790405273438,2425399000
-145.99540710449219,2425400000
